model_id	model_name	sample_id	patient_id
SIDM01274	HCM-SANG-0314-C15	SIDS01216	SIDP01107
SIDM01276	HCM-SANG-0272-C20	SIDS01218	SIDP01109
SIDM01280	HCM-SANG-0310-C15	SIDS01222	SIDP01113
SIDM01282	HCM-SANG-0278-C20	SIDS01223	SIDP01114
SIDM01284	HCM-SANG-0277-C18	SIDS01226	SIDP01117
SIDM01278	HCM-SANG-0276-C18	SIDS01220	SIDP01111
SIDM01272	HCM-SANG-0274-C18	SIDS01192	SIDP01083
SIDM01275	HCM-SANG-0298-C15	SIDS01217	SIDP01108
SIDM01281	HCM-SANG-0265-C18	SIDS01214	SIDP01105
SIDM01283	HCM-SANG-0306-C15	SIDS01225	SIDP01116
SIDM01289	HCM-SANG-0300-C15	SIDS01231	SIDP01122
SIDM01290	HCM-SANG-0293-C15	SIDS01232	SIDP01123
SIDM01292	HCM-SANG-0296-C15	SIDS01233	SIDP01124
SIDM01295	HCM-SANG-0315-C25	SIDS01193	SIDP01084
SIDM01296	HCM-SANG-0303-C15	SIDS01194	SIDP01085
SIDM01298	HCM-SANG-0308-C15	SIDS01196	SIDP01087
SIDM01307	HCM-SANG-0288-C18	SIDS01205	SIDP01096
SIDM01303	HCM-SANG-0304-C15	SIDS01212	SIDP01103
SIDM01309	HCM-SANG-0271-D12	SIDS01207	SIDP01098
SIDM01311	HCM-SANG-0299-C15-B	SIDS01209	SIDP01099
SIDM01297	HCM-SANG-0275-C18	SIDS01195	SIDP01086
SIDM01301	HCM-SANG-0312-C15	SIDS01199	SIDP01090
SIDM01299	HCM-SANG-0281-C18	SIDS01197	SIDP01088
SIDM01313	HCM-SANG-0285-C18	SIDS01202	SIDP01093
SIDM01305	HCM-SANG-0286-C20	SIDS01203	SIDP01094
SIDM01314	HCM-SANG-0273-C18	SIDS01234	SIDP01125
SIDM01300	HCM-SANG-0280-C18	SIDS01198	SIDP01089
SIDM01304	HCM-SANG-0284-C18	SIDS01201	SIDP01092
SIDM01306	HCM-SANG-0287-C20	SIDS01204	SIDP01095
SIDM01308	HCM-SANG-0292-C15	SIDS01206	SIDP01097
SIDM01310	HCM-SANG-0299-C15	SIDS01208	SIDP01099
SIDM01312	HCM-SANG-0309-C15	SIDS01210	SIDP01101
SIDM01302	HCM-SANG-0313-C15	SIDS01200	SIDP01091
SIDM01266	HCM-SANG-0266-C20	SIDS01186	SIDP01077
SIDM01267	HCM-SANG-0267-D12	SIDS01187	SIDP01078
SIDM01268	HCM-SANG-0270-C20	SIDS01188	SIDP01079
SIDM01269	HCM-SANG-0291-C15	SIDS01189	SIDP01080
SIDM01270	HCM-SANG-0295-C15	SIDS01190	SIDP01081
SIDM01271	HCM-SANG-0297-C15	SIDS01191	SIDP01082
SIDM01294	HCM-SANG-0311-C15	SIDS01211	SIDP01102
SIDM01291	HCM-SANG-0294-C15	SIDS01224	SIDP01115
SIDM01273	HCM-SANG-0283-C18	SIDS01215	SIDP01106
SIDM01288	HCM-SANG-0268-C18	SIDS01230	SIDP01121
SIDM01279	HCM-SANG-0269-C18	SIDS01221	SIDP01112
SIDM01287	HCM-SANG-0290-C15	SIDS01229	SIDP01120
SIDM01277	HCM-SANG-0307-C15	SIDS01219	SIDP01110
SIDM01293	HCM-SANG-0282-C18	SIDS01213	SIDP01104
SIDM01285	HCM-SANG-0289-C15	SIDS01227	SIDP01118
SIDM01958	HCM-SANG-0549-C15	SIDS01815	SIDP01714
SIDM01960	HCM-SANG-0529-C18	SIDS01813	SIDP01712
SIDM01962	HCM-SANG-0533-C20	SIDS01811	SIDP01710
SIDM01964	HCM-SANG-0544-C15	SIDS01831	SIDP01729
SIDM01944	HCM-SANG-0546-C15	SIDS01829	SIDP01727
SIDM01948	HCM-SANG-0540-C25	SIDS01825	SIDP01723
SIDM01950	HCM-SANG-0536-C18	SIDS01823	SIDP01721
SIDM01954	HCM-SANG-0537-C18	SIDS01819	SIDP01717
SIDM01956	HCM-SANG-0518-C18	SIDS01817	SIDP01715
SIDM01966	HCM-SANG-0551-C18	SIDS01833	SIDP01731
SIDM01959	HCM-SANG-0517-C20	SIDS01814	SIDP01713
SIDM01961	HCM-SANG-0553-C25	SIDS01812	SIDP01711
SIDM01963	HCM-SANG-0527-C18	SIDS01810	SIDP01709
SIDM01965	HCM-SANG-0545-C15	SIDS01832	SIDP01730
SIDM01286	HCM-SANG-0302-C15	SIDS01228	SIDP01119
SIDM01942	HCM-SANG-0522-C18	SIDS01809	SIDP01708
SIDM01943	HCM-SANG-0524-C20	SIDS01830	SIDP01728
SIDM01945	HCM-SANG-0535-C20	SIDS01828	SIDP01726
SIDM01946	HCM-SANG-0528-C25	SIDS01827	SIDP01725
SIDM01949	HCM-SANG-0523-C15	SIDS01824	SIDP01722
SIDM01951	HCM-SANG-0520-C18	SIDS01822	SIDP01720
SIDM01953	HCM-SANG-0519-C20	SIDS01820	SIDP01718
SIDM01955	HCM-SANG-0534-C18	SIDS01818	SIDP01716
SIDM01947	HCM-SANG-0547-C25	SIDS01826	SIDP01724
SIDM01952	HCM-SANG-0548-C25	SIDS01821	SIDP01719
SIDM01957	HCM-SANG-0311-C15-B	SIDS01816	SIDP01102
