synonyms	doi	model_treatment	msi_status	mutational_burden	ploidy	parent_id	mutation_data	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type	cancer_type_ncit_id	sampling_day	sample_treatment_details	tnm_integrated	species	HCMI
			MSS	4.766666667	2.039003146		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
						SIDM00004	0.0	0.0	1.0	0.0	0.0	0.0	0.0	Melanoma	C3802				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C6261				Homo Sapiens	
			MSI	66.06666667	2.045965251		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
P3HRI;P3HR1-BL;P3J HR-1;P3J HR1-K						SIDM00808	0.0	0.0	1.0	0.0	0.0	0.0	1.0	Burkitt's Lymphoma	C27694				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C5243				Homo Sapiens	
			MSS	12.66666667			1.0	1.0	1.0	0.0	0.0	0.0	1.0	Kidney Carcinoma	C9385				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Squamous Cell Lung Carcinoma	C3493				Homo Sapiens	
			MSS	28.33333333	2.899808207		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
COLO_081		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	4.0		IIC	Homo Sapiens	
			MSS	9.533333333	3.899389729		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
		Unknown				SIDM01366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioma	C60781				Homo Sapiens	
Hs 683.T			MSS				1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioma	C3288				Homo Sapiens	
			MSS		3.029205332		1.0	0.0	1.0	1.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kidney Carcinoma	C9385				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	13.43333333	2.919368599		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
			MSS	15.2	2.216436458		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
			MSS	6.566666667	1.809539958		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
COLO_155		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C9383	5.0	"Bevacizumab
Dexamethasone
Oxaliplatin"	IIIC	Homo Sapiens	
				14.03333333	3.446808615		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917		The patient was treated with cytoxan, vincristine, methotrexate and radiation therapy		Homo Sapiens	
KTCTL-21			MSS	4.8	1.765230216		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C4033				Unknown	
Nakata-1			MSS	9.633333333	3.456410679		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Oral Cavity Carcinoma	C4833				Homo Sapiens	
			MSS	12.56666667	3.740664153		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4194				Homo Sapiens	
					1.945504812		1.0	0.0	1.0	0.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C7965				Homo Sapiens	
	10.1056/NEJM199204233261704	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Cell Non-Hodgkin's Lymphoma	C3467				Homo Sapiens	
HUT513			MSS	62.5	2.928087382		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Solid Carcinomas	C9133				Homo Sapiens	
	10.1007/s00428-012-1256-5	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C4250		50 Gy.		Homo Sapiens	
