Field	model_id	name	type	growth_properties	parent_id	patient_sample_id	comments	supplier	external_ids	publications
#Description	Unique identifier for all the PDXs derived from the same tissue sample	Most comman name associate with model. Please use the CCLE name if available	Type of organoid or cell model		Please add the model Id of the model used to generate the model. If the model was not in this set, please refer to it by external id		Add crucial comments about the model that cannot be expressed by other fields	Please provide the suplies brief acronym or name followed by a colon and thel number or name use to reference the model	Depmap accession, Cellusaurus accession or other id. Please place in comma separated list	If model has been part of a published study include pubmed IDs separated by commas. 
#Example	CRC0014LM	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	organoid, CRC, 3-D other, cell model	embedded 3d culture			orthotopic	fresh	all	PMID: 27771609, PMID: 27771610 
#Format Requirements	free alphanumerical and and -_~.	free text	One of the following: organoid, CRC, 3-D other, cell model	One of the following: embedded 3d culture, adherent, mix of adherent and suspension, suspension			heterotopic, orthotopic, not collected, or not provided.	free text , not collected or not provided 	numerical or all 	PMID: 8 digit format
#Essential?	essential	essential	essential	essential	essential if applicable		essential	essential	desirable	desirable
	SIDM01098	SK-N-SH	Cell Line	Adherent		SIDS00374		ATCC:HTB-11		
	SIDM01222	MDA-MB-435S	Cell Line	Unknown	SIDM00004	SIDS00779		ATCC:HTB-129		
	SIDM01476	COV434	Cell Line	Adherent		SIDS01289		ECACC:07071909		
	SIDM00837	SW48	Cell Line	Adherent		SIDS00028		ATCC:CCL-231		
	SIDM01254	P3HR-1	Cell Line	Suspension	SIDM00808	SIDS00056		ATCC:HTB-62		
	SIDM01730	JHOM-2B	Cell Line	Adherent		SIDS01591		JCRB:RCB1682		
	SIDM01162	SW156	Cell Line	Adherent		SIDS00391		ATCC:CRL-2175		
	SIDM01593	HCC95	Cell Line	Adherent		SIDS01329		KCLB:70095		
	SIDM00138	NCI-H23	Cell Line	Adherent		SIDS00838		NCI:NCI-H23		
	SIDM01300	HCM-SANG-0280-C18	Organoid	Unknown		SIDS01198				
	SIDM00455	PA-TU-8902	Cell Line	Adherent		SIDS01138		DSMZ:ACC-179		
	SIDM01626	LN-319	Cell Line	Adherent	SIDM01366	SIDS01392		AddexBio:C0005001		
	SIDM00666	Hs-683	Cell Line	Adherent		SIDS00161		ATCC:HTB-138		
	SIDM00177	M980513	Cell Line	Unknown		SIDS00646				
	SIDM01341	SLR20	Cell Line	Unknown		SIDS01453				
