Field	model_id	name	type	growth_properties	parent_id	origin_patient_sample_id	comments	supplier	external_ids	publications
#Description	Unique identifier for all the PDXs derived from the same tissue sample	Most comman name associate with model. Please use the CCLE name if available	Type of organoid or cell model		Please add the model Id of the model used to generate the model. If the model was not in this set, please refer to it by external id		Add crucial comments about the model that cannot be expressed by other fields	Please provide the suplies brief acronym or name followed by a colon and thel number or name use to reference the model	Depmap accession, Cellusaurus accession or other id. Please place in comma separated list	If model has been part of a published study include pubmed IDs separated by commas. 
#Example	CRC0014LM	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	organoid, CRC, 3-D other, cell model	embedded 3d culture			orthotopic	fresh	all	PMID: 27771609, PMID: 27771610 
#Format Requirements	free alphanumerical and and -_~.	free text	One of the following: organoid, CRC, 3-D other, cell model	One of the following: embedded 3d culture, adherent, mix of adherent and suspension, suspension			heterotopic, orthotopic, not collected, or not provided.	free text , not collected or not provided 	numerical or all 	PMID: 8 digit format
#Essential?	essential	essential	essential	essential	essential if applicable		essential	essential	desirable	desirable
	SIDM01098	SK-N-SH	Cell Line	Adherent			 SH-SY5Y is a thrice cloned (SK-N-SH -> SH-SY -> SH-SY5 -> SH-SY5Y) subline of the neuroblastoma cell line SK-N-SH (ATCC).	ATCC:HTB-11	COSMIC717431,ACH-000149,CVCL_0531,CCLE_Name:SKNSH_AUTONOMIC_GANGLIA	
	SIDM01222	MDA-MB-435S	Cell Line	Unknown	SIDM00004	SIDS00779	 MDA-MB-435 and its variant MDA-MB435S have been found to be cross contaminated with M14 (ICLAC, DOI: 10.1002/ijc.31067)	ATCC:HTB-129	ACH-000884,CVCL_0622,CCLE_Name:MDAMB435S_SKIN	
	SIDM01476	COV434	Cell Line	Adherent			 	ECACC:07071909	ACH-000123,CVCL_2010,CCLE_Name:COV434_OVARY	
	SIDM00837	SW48	Cell Line	Adherent			 	ATCC:CCL-231	COSMIC909751,ACH-000958,CVCL_1724,CCLE_Name:SW48_LARGE_INTESTINE	
	SIDM01254	P3HR-1	Cell Line	Suspension	SIDM00808	SIDS00056	 P3HR-1 is a clonally derived subline of Jiyoye. 2B8 is a HAT sensitive fusion cell line derived from the P3HR-1 (ATCC).	ATCC:HTB-62	COSMIC1330988,ACH-000707,CVCL_2676,CCLE_Name:P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM01730	JHOM-2B	Cell Line	Adherent			 	JCRB:RCB1682	ACH-000333,,CCLE_Name:JHOM2B_OVARY	
