Field	model_id	name	type	growth_properties	parent_id	comments	supplier	external_ids	publications
#Description	Unique identifier for all the PDXs derived from the same tissue sample	Most comman name associate with model. Please use the CCLE name if available	Type of organoid or cell model		Please add the model Id of the model used to generate the model. If the model was not in this set, please refer to it by external id	Add crucial comments about the model that cannot be expressed by other fields	Please provide the suplies brief acronym or name followed by a colon and thel number or name use to reference the model	Depmap accession, Cellusaurus accession or other id. Please place in comma separated list	If model has been part of a published study include pubmed IDs separated by commas. 
#Example	CRC0014LM	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	organoid, CRC, 3-D other, cell model	embedded 3d culture		orthotopic	fresh	all	PMID: 27771609, PMID: 27771610 
#Format Requirements	free alphanumerical and and -_~.	free text	One of the following: organoid, CRC, 3-D other, cell model	One of the following: embedded 3d culture, adherent, mix of adherent and suspension, suspension		heterotopic, orthotopic, not collected, or not provided.	free text , not collected or not provided 	numerical or all 	PMID: 8 digit format
#Essential?	essential	essential	essential	essential	essential if applicable	essential	essential	desirable	desirable
	HCM-CSHL-0056-C18	HCM-CSHL-0056-C18	3-D: Organoid				ATCC:PDM-1		
	HCM-CSHL-0057-C18	HCM-CSHL-0057-C18	3-D: Organoid				ATCC:PDM-2		
	HCM-CSHL-0062-C18	HCM-CSHL-0062-C18	3-D: Organoid				ATCC:PDM-6		
	HCM-CSHL-0063-C18	HCM-CSHL-0063-C18	3-D: Organoid				ATCC:PDM-7		
	HCM-BROD-0003-C71	HCM-BROD-0003-C71	2-D: Conditionally reprogrammed cells				ATCC:PDM-17		
	HCM-BROD-0012-C71	HCM-BROD-0012-C71	2-D: Adherent				ATCC:PDM-19		
	HCM-BROD-0047-C71	HCM-BROD-0047-C71	2-D: Adherent				ATCC:PDM-23		
	HCM-CSHL-0061-C18	HCM-CSHL-0061-C18	3-D: Organoid				ATCC:PDM-5		
	HCM-BROD-0029-C71	HCM-BROD-0029-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-22		
	HCM-CSHL-0065-C20	HCM-CSHL-0065-C20	3-D: Organoid				ATCC:PDM-9		
	HCM-BROD-0014-C71	HCM-BROD-0014-C71	2-D: Adherent				ATCC:PDM-20		
	HCM-BROD-0028-C71	HCM-BROD-0028-C71	2-D: Adherent				ATCC:PDM-21		
	HCM-CSHL-0064-C18	HCM-CSHL-0064-C18	3-D: Organoid				ATCC:PDM-8		
