0	1	2
HCM-BROD-0223-C43	HCM-BROD-0223-C43-85M-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0143-C20	HCM-CSHL-0143-C20-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0195-C71	HCM-BROD-0195-C71-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0210-C71	HCM-BROD-0210-C71-85R-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0036-C41	HCM-BROD-0036-C41-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0062-C18	HCM-CSHL-0062-C18-85A-01D-A768-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0198-C71	HCM-BROD-0198-C71-85B-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0158-C20	HCM-CSHL-0158-C20-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0227-C43	HCM-BROD-0227-C43-85M-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0561-C43	HCM-BROD-0561-C43-85M-01D-A79L-36	wxs__GRCh38_Other
HCM-BROD-0613-C71	HCM-BROD-0613-C71-85A-01D-A80U-36	wxs__GRCh38_Other
HCM-BROD-0569-C43	HCM-BROD-0569-C43-85M-01D-A80U-36	wxs__GRCh38_Other
HCM-BROD-0048-C71	HCM-BROD-0048-C71-85A-01D-A79L-36	wxs__GRCh38_Other
HCM-CSHL-0246-C19	HCM-CSHL-0246-C19-85A-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0238-C18	HCM-CSHL-0238-C18-85A-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0434-C24-A	HCM-CSHL-0434-C24-85A-01D-A78U-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0060-C18	HCM-CSHL-0060-C18-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0091-C25	HCM-CSHL-0091-C25-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0244-C20	HCM-CSHL-0244-C20-85A-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0434-C24-B	HCM-CSHL-0434-C24-85M-01D-A78U-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0056-C18	HCM-CSHL-0056-C18-85B-01D-A78J-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0043-C16	HCM-BROD-0043-C16-85B-01D-A79L-36	wxs__GRCh38_Other
HCM-CSHL-0057-C18	HCM-CSHL-0057-C18-85B-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0196-C71	HCM-BROD-0196-C71-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0147-C24	HCM-CSHL-0147-C24-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0382-C19	HCM-CSHL-0382-C19-85A-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0093-C25	HCM-CSHL-0093-C25-85A-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0002-C71	HCM-BROD-0002-C71-85A-01D-A768-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0007-C49	HCM-BROD-0007-C49-85B-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0047-C71	HCM-BROD-0047-C71-85B-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0064-C18	HCM-CSHL-0064-C18-85A-01D-A768-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0104-C71	HCM-BROD-0104-C71-85B-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0012-C71	HCM-BROD-0012-C71-85A-01D-A768-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0085-C24	HCM-CSHL-0085-C24-85A-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0089-C25	HCM-CSHL-0089-C25-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0174-C22	HCM-CSHL-0174-C22-85A-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0063-C18	HCM-CSHL-0063-C18-85A-01D-A768-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0106-C71	HCM-BROD-0106-C71-85A-01D-A79L-36	wxs__GRCh38_Other
HCM-CSHL-0065-C20	HCM-CSHL-0065-C20-85A-01D-A768-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0199-C71	HCM-BROD-0199-C71-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0073-C25	HCM-CSHL-0073-C25-85B-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0339-C43	HCM-BROD-0339-C43-85M-01D-A79C-36	wxs__GRCh38_Other
HCM-BROD-0332-C43	HCM-BROD-0332-C43-85M-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0234-C49	HCM-BROD-0234-C49-85M-01D-A80U-36	wxs__GRCh38_Other
HCM-BROD-0103-C71	HCM-BROD-0103-C71-85B-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0433-C24	HCM-CSHL-0433-C24-85A-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0164-C20	HCM-CSHL-0164-C20-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0229-C25	HCM-BROD-0229-C25-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0384-D37	HCM-CSHL-0384-D37-85P-01D-A79M-36	wxs__GRCh38_Other
HCM-BROD-0235-C16	HCM-BROD-0235-C16-85B-01D-A79C-36	wxs__GRCh38_Other
HCM-BROD-0003-C71	HCM-BROD-0003-C71-85B-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0381-C20	HCM-CSHL-0381-C20-85A-01D-A79C-36	wxs__GRCh38_Other
HCM-BROD-0334-C43	HCM-BROD-0334-C43-85M-01D-A79L-36	wxs__GRCh38_Other
HCM-BROD-0643-C43	HCM-BROD-0643-C43-85N-01D-A80U-36	wxs__GRCh38_Other
HCM-CSHL-0090-C25	HCM-CSHL-0090-C25-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0461-D12	HCM-CSHL-0461-D12-85P-01D-A78U-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0366-C50	HCM-CSHL-0366-C50-85B-01D-A78J-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0027-C34	HCM-BROD-0027-C34-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0209-C71	HCM-BROD-0209-C71-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0085-C24-B	HCM-CSHL-0085-C24-85M-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0025-C16	HCM-BROD-0025-C16-85A-01D-A80U-36	wxs__GRCh38_Other
HCM-CSHL-0092-C25	HCM-CSHL-0092-C25-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0094-C25	HCM-CSHL-0094-C25-85B-01D-A78M-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0118-C16	HCM-BROD-0118-C16-85A-01D-A79L-36	wxs__GRCh38_Other
HCM-BROD-0557-C43	HCM-BROD-0557-C43-85M-01D-A80U-36	wxs__GRCh38_Other
HCM-CSHL-0142-C18	HCM-CSHL-0142-C18-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0058-C34	HCM-CSHL-0058-C34-85C-01D-A78L-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0459-C17	HCM-CSHL-0459-C17-85A-01D-A79C-36	wxs__GRCh38_Other
HCM-BROD-0213-C71	HCM-BROD-0213-C71-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0028-C71	HCM-BROD-0028-C71-85A-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0100-C15	HCM-BROD-0100-C15-85A-01D-A786-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0098-C15	HCM-BROD-0098-C15-85A-01D-A79C-36	wxs__GRCh38_Other
HCM-BROD-0014-C71	HCM-BROD-0014-C71-85B-01D-A77E-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-CSHL-0079-C25	HCM-CSHL-0079-C25-85B-01D-A78M-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0415-C71	HCM-BROD-0415-C71-85R-01D-A80U-36	wxs__GRCh38_Other
HCM-CSHL-0248-C19	HCM-CSHL-0248-C19-85A-01D-A78T-36	wxs__GRCh38_Illumina HiSeq X Ten
HCM-BROD-0020-C15	HCM-BROD-0020-C15-85A-01D-A79L-36	wxs__GRCh38_Other
HCM-BROD-0095-C15	HCM-BROD-0095-C15-85A-01D-A79C-36	wxs__GRCh38_Other
