model_id,passage_range,treatment_name,treatment_type,treatment_dose,administration_route,treatment_schedule,treatment_length,treatment_response,response_classification,platform_id,provider
HBCx-118,2.3,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-118,3,Olaparib,treatment,100 mg/kg,per os,5x/w,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-118,3,Niraparib,treatment,50 mg/kg,per os,5x/w,53 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-118,3,AZD5363,treatment,50x2 mg/kg,per os,"5x/w, BID",53 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-118,3,AZD5363 + Fulvestrant,treatment,50x2 mg/kg + 50 mg/kg,per os + subcutaneous,"5x/w, BID + once a week",53 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-118,3,Everolimus,treatment,2.5 mg/kg,per os,3x/w,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-118,2,Palbociclib,treatment,75 mg/kg,per os,5x/w,67 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-118,2,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,67 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-124,10,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,67 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-124,10,Palbociclib,treatment,75 mg/kg,per os,5x/w,67 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-124,10,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,67 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-124,18,AZD4547 + Fulvestrant,treatment,12.5 mg/g + 50 mg/kg,per os + subcutaneous,5x/w + once a week,60 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-124,18,Everolimus + Fulvestrant,treatment,2.5 mg/kg + 50 mg/kg,per os + subcutaneous,3x/w + once a week,60 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-131,10,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
