NCIT	treatment_name	description	treatment_type	drug_name	NCIT_label
http://purl.obolibrary.org/obo/NCIT_C821	Saline	"A solution of salt and water. Saline usually refers to normal or physiological saline, which is an aqueous solution containing 0.9% sodium chloride."	Not provided	Saline	0.9% Solution of Sodium Chloride
http://purl.obolibrary.org/obo/NCIT_C121828	4-Thio-2-deoxycytidine	"An orally bioavailable 4-thio modified 2-deoxycytidine analog, with potential antineoplastic activity. Upon administration of 4-thio-2-deoxycytidine (TdCyd), this cytidine analog gets incorporated into DNA during replication and inhibits the activity of DNA methyltransferase 1 (DNMT1), which blocks DNA hypermethylation. This results in DNMT1 depletion, hypomethylation of DNA, and the reactivation of tumor suppressor genes that were silenced by hypermethylation; this results in antitumor activity and an inhibition of tumor cell proliferation."	Not provided	4-Thio-2-deoxycytidine	4-Thio-2-deoxycytidine
http://purl.obolibrary.org/obo/NCIT_C11252	Eniluracil/5-FU Combination Tablet	"A combination tablet of ethynyluracil and fluorouracil. Fluorouracil is an antimetabolite fluoropyrimidine analog of the nucleoside pyrimidine with antineoplastic activity. Ethynyluracil is an orally-active fluoropyrimidine analog that inhibits dihydropyrimidine dehydrogenase, the rate-limiting enzyme that catabolizes and inactivates 5-fluorouracil in the liver. This may lead to an increase in the bioavailability and, effectiveness of fluorouracil."	Targeted therapy	Eniluracil/5-FU Combination Tablet	5-FU
http://purl.obolibrary.org/obo/NCIT_C62785	5-Fluoro-2-Deoxycytidine	"An antimetabolite consisting of a fluorinated pyrimidine analog with potential antineoplastic activity. As a prodrug, 5-fluoro-2-deoxycytidine is converted by intracellular deaminases to the cytotoxic agent 5-Fluorouracil (5-FU). 5-FU is subsequently metabolized to active metabolites including 5-fluoro-2-deoxyuridine monophosphate (FdUMP) and 5-fluorouridine triphosphate (FUTP). FdUMP binds to and inhibits thymidylate synthase, thereby reducing the production of thymidine monophosphate, which leads to depletion of thymidine triphosphate. This inhibits DNA synthesis and cell division. FUTP competes with uridine triphosphate for incorporation into the RNA strand thus leading to an inhibition of RNA and protein synthesis. Other fluorouracil metabolites also get incorporated into both DNA and RNA, thereby further hampering cellular growth."	Chemotherapy	5-Fluoro-2-Deoxycytidine	5-Fluoro-2-Deoxycytidine
http://purl.obolibrary.org/obo/NCIT_C505	Fluorouracil	"An antimetabolite fluoropyrimidine analog of the nucleoside pyrimidine with antineoplastic activity. Fluorouracil and its metabolites possess a number of different mechanisms of action. In vivo, fluoruracil is converted to the active metabolite 5-fluoroxyuridine monophosphate (F-UMP); replacing uracil, F-UMP incorporates into RNA and inhibits RNA processing, thereby inhibiting cell growth. Another active metabolite, 5-5-fluoro-2'-deoxyuridine-5'-O-monophosphate (F-dUMP), inhibits thymidylate synthase, resulting in the depletion of thymidine triphosphate (TTP), one of the four nucleotide triphosphates used in the in vivo synthesis of DNA. Other fluorouracil metabolites incorporate into both RNA and DNA; incorporation into RNA results in major effects on both RNA processing and functions."	Chemotherapy	Fluorouracil	5FU
http://purl.obolibrary.org/obo/NCIT_C63415	AC Regimen	"A chemotherapy regimen consisting of cyclophosphamide and doxorubicin, used in the neoadjuvant and adjuvant treatment for breast cancer; also used as a treatment for recurrent and metastatic breast cancer."	Chemotherapy	AC Regimen	AC Regimen
http://purl.obolibrary.org/obo/NCIT_C88272	FGFR Inhibitor AZD4547	"An orally bioavailable inhibitor of the fibroblast growth factor receptor (FGFR) with potential antineoplastic activity. FGFR inhibitor AZD4547 binds to and inhibits FGFR, which may result in the inhibition of FGFR-related signal transduction pathways, and, so, the inhibition of tumor cell proliferation and tumor cell death. FGFR, up-regulated in many tumor cell types, is a receptor tyrosine kinase essential to tumor cellular proliferation, differentiation and survival."	Targeted therapy	FGFR Inhibitor AZD4547	AZD4547
http://purl.obolibrary.org/obo/NCIT_C102564	Capivasertib	"A novel pyrrolopyrimidine derivative, and an orally available inhibitor of the serine/threonine protein kinase AKT (protein kinase B) with potential antineoplastic activity. Capivasertib binds to and inhibits all AKT isoforms. Inhibition of AKT prevents the phosphorylation of AKT substrates that mediate cellular processes, such as cell division, apoptosis, and glucose and fatty acid metabolism. A wide range of solid and hematological malignancies show dysregulated PI3K/AKT/mTOR signaling due to mutations in multiple signaling components. By targeting AKT, the key node in the PIK3/AKT signaling network, this agent may be used as monotherapy or combination therapy for a variety of human cancers."	Targeted therapy	Capivasertib	AZD5363
http://purl.obolibrary.org/obo/NCIT_C77333	Abiraterone	"A steroidal compound with antiandrogen activity. Abiraterone inhibits the enzymatic activity of steroid 17alpha-monooxygenase (17alpha-hydrolase/C17,20 lyase complex; CYP17A1), a member of the cytochrome p450 family that catalyzes the 17alpha-hydroxylation of steroid intermediates involved in testosterone synthesis. Administration of this agent may suppress testosterone production by both the testes and the adrenals to castrate-range levels."	Hormone therapy	Abiraterone	Abiraterone
http://purl.obolibrary.org/obo/NCIT_C103277	Acalisib	"An inhibitor of the beta and delta isoforms of the 110 kDa catalytic subunit of class IA phosphoinositide-3 kinases (PI3K) with potential immunomodulating and antineoplastic activities. Acalisib inhibits the activity of PI3K, thereby preventing the production of the second messenger phosphatidylinositol-3,4,5-trisphosphate (PIP3), which decreases tumor cell proliferation and induces cell death. PI3K-mediated signaling is often dysregulated in cancer cells; the targeted inhibition of PI3K is designed to preserve PI3K signaling in normal, non-neoplastic cells."	Targeted therapy	Acalisib	Acalisib
