Symbol	Synonyms	chromosome	strand	start	end	GeneID	ensembl_id
A1BG	A1B|ABG|GAB|HYST2477	19	-1.0	58345178.0	58353492.0	1	ENSG00000121410
A2M	A2MD|CPAMD5|FWP007|S863-7	12	-1.0	9067664.0	9116229.0	2	ENSG00000175899
A2MP1	A2MP	12	-1.0	9228533.0	9234207.0	3	ENSG00000291190
NAT1	AAC1|MNAT|NAT-1|NATI	8	1.0	18170477.0	18223689.0	9	ENSG00000171428
NAT2	AAC2|NAT-2|PNAT	8	1.0	18391282.0	18401218.0	10	ENSG00000156006
NATP	AACP|NATP1	8	1.0	12800000.0	19200000.0	11	
SERPINA3	AACT|ACT|GIG24|GIG25	14	1.0	94612384.0	94624055.0	12	ENSG00000196136
AADAC	CES5A1|DAC	3	1.0	151814073.0	151828488.0	13	ENSG00000114771
AAMP	-	2	-1.0	218264129.0	218270178.0	14	ENSG00000127837
AANAT	DSPS|SNAT	17	1.0	76453351.0	76470117.0	15	ENSG00000129673
AARS1	AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8	16	-1.0	70251983.0	70289707.0	16	ENSG00000090861
ABAT	GABA-AT|GABAT|NPD009	16	1.0	8674596.0	8784575.0	18	ENSG00000183044
ABCA1	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	9	-1.0	104781006.0	104928155.0	19	ENSG00000165029
ABCA2	ABC2|IDPOGSA	9	-1.0	137007234.0	137028915.0	20	ENSG00000107331
ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	16	-1.0	2275881.0	2340746.0	21	ENSG00000167972
ABCB7	ABC7|ASAT|Atm1p|EST140535	X	-1.0	75051048.0	75156732.0	22	ENSG00000131269
ABCF1	ABC27|ABC50	6	1.0	30571393.0	30597179.0	23	ENSG00000204574
ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	1	-1.0	93992834.0	94121148.0	24	ENSG00000198691
ABL1	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9	1.0	130713043.0	130887675.0	25	ENSG00000097007
AOC1	ABP|ABP1|DAO|DAO1|KAO	7	1.0	150824627.0	150861504.0	26	ENSG00000002726
ABL2	ABLL|ARG	1	-1.0	179099330.0	179229684.0	27	ENSG00000143322
ABO	A3GALNT|A3GALT1|GTB|NAGAT	9	-1.0	133233278.0	133276024.0	28	ENSG00000175164
ABR	MDB	17	-1.0	1003519.0	1229738.0	29	ENSG00000159842
ACAA1	ACAA|Lnc-Myd88|PTHIO|THIO	3	-1.0	38103129.0	38137242.0	30	ENSG00000060971
ACACA	ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1	17	-1.0	37084992.0	37406836.0	31	ENSG00000278540
ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	12	1.0	109116587.0	109268226.0	32	ENSG00000076555
ACADL	ACAD4|LCAD	2	-1.0	210187126.0	210225447.0	33	ENSG00000115361
ACADM	ACAD1|MCAD|MCADH	1	1.0	75724431.0	75787575.0	34	ENSG00000117054
ACADS	ACAD3|SCAD	12	1.0	120725774.0	120740008.0	35	ENSG00000122971
ACADSB	2-MEBCAD|ACAD7|SBCAD	10	1.0	123008979.0	123058290.0	36	ENSG00000196177
ACADVL	ACAD6|LCACD|VLCAD	17	1.0	7217125.0	7225266.0	37	ENSG00000072778
ACAT1	ACAT|MAT|T2|THIL	11	1.0	108116695.0	108147603.0	38	ENSG00000075239
ACAT2	-	6	1.0	159762045.0	159779112.0	39	ENSG00000120437
ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	17	-1.0	33013087.0	34174964.0	40	ENSG00000108684
ASIC1	ACCN2|ASIC|BNaC2	12	1.0	50057548.0	50083611.0	41	ENSG00000110881
ACHE	ACEE|ARACHE|N-ACHE|YT	7	-1.0	100889994.0	100896974.0	43	ENSG00000087085
ACLY	ACL|ATPCL|CLATP	17	-1.0	41866917.0	41930542.0	47	ENSG00000131473
ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	9	1.0	32384603.0	32454769.0	48	ENSG00000122729
ACR	SPGF87	22	1.0	50738196.0	50745339.0	49	ENSG00000100312
ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	22	1.0	41447830.0	41529273.0	50	ENSG00000100412
ACOX1	ACOX|AOX|MITCH|PALMCOX|SCOX	17	-1.0	75941507.0	75979177.0	51	ENSG00000161533
ACP1	HAAP|LMW-PTP|LMWPTP	2	1.0	264140.0	278283.0	52	ENSG00000143727
ACP2	LAP	11	-1.0	47239302.0	47248906.0	53	ENSG00000134575
ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase	19	-1.0	11574653.0	11579993.0	54	ENSG00000102575
ACP3	5'-NT|ACP-3|ACPP|TM-PAP	3	1.0	132317369.0	132368302.0	55	ENSG00000014257
ACRV1	D11S4365|SP-10|SPACA2	11	-1.0	125671522.0	125680874.0	56	ENSG00000134940
ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|CMYP2A|CMYP2B|CMYP2C|MPFD|NEM1|NEM2|NEM3|SHPM	1	-1.0	229430365.0	229434104.0	58	ENSG00000143632
ACTA2	ACTSA	10	-1.0	88935074.0	88991339.0	59	ENSG00000107796
ACTB	BKRNS|BNS|BRWS1|CSMH|DDS1|PS1TP5BP1|THC8	7	-1.0	5526409.0	5563902.0	60	ENSG00000075624
ACTBP2	-	5	1.0	77600000.0	82100000.0	62	
ACTBP3	-	18	1.0	58600000.0	61300000.0	63	
ACTBP4	-	5	1.0	131200000.0	136900000.0	64	
ACTBP6	H8-PSI-BETA-AC3	8	1.0	83500000.0	85900000.0	66	
ACTBP7	-	15	1.0	43300000.0	44500000.0	67	
ACTBP8	ACTBP2	6	1.0	87300000.0	92500000.0	68	
ACTBP9	-	18	1.0	61300000.0	63900000.0	69	
ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	15	-1.0	34790107.0	34795589.0	70	ENSG00000159251
ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	17	-1.0	81509413.0	81523847.0	71	ENSG00000184009
ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1	2	1.0	73892314.0	73919865.0	72	ENSG00000163017
ACTG1P1	ACT1GP1|ACTGP1|HY-psi-gamma-AC6	3	1.0	139000000.0	143100000.0	73	
ACTG1P2	ACTGP2|ACTL2	Y	1.0	17100000.0	19600000.0	74	
ACTG1P3	ACTGP3|dJ545L17.4	20	1.0	0.0	5100000.0	75	
ACTN4	ACTININ-4|FSGS|FSGS1	19	1.0	38647649.0	38731589.0	81	ENSG00000130402
ACTG1P9	ACTGP9	6	1.0	46200000.0	51800000.0	82	
ACTG1P10	ACTGP10|ACTL1|ACTP1	X	1.0	50100000.0	54800000.0	83	
ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1	3	1.0	179562886.0	179588407.0	86	ENSG00000136518
ACTN1	BDPLT15	14	-1.0	68874128.0	68979440.0	87	ENSG00000072110
ACTN2	CMD1AA|CMH23|CMYP8|MPD6|MYOCOZ	1	1.0	236664141.0	236764631.0	88	ENSG00000077522
ACTN3	ACTN3D	11	1.0	66546395.0	66563334.0	89	ENSG00000248746
ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	2	-1.0	157736251.0	157876330.0	90	ENSG00000115170
ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	12	1.0	51951699.0	51997078.0	91	ENSG00000135503
ACVR2A	ACTRII|ACVR2	2	1.0	147844517.0	147930826.0	92	ENSG00000121989
ACVR2B	ACTRIIB|ActR-IIB|HTX4	3	1.0	38453890.0	38493142.0	93	ENSG00000114739
ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	12	1.0	51906908.0	51923361.0	94	ENSG00000139567
ACY1	ACY-1|ACY1D|HEL-S-5	3	1.0	51983340.0	51989197.0	95	ENSG00000243989
