Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
A1BG	alpha-1-B glycoprotein			NM_130786	1	1	NM_130786
A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	NR_015380	503538	503538	NR_015380
A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF	NM_014576	29974	29974	NM_001198818
A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)						
A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5	NM_000014	2	2	NM_000014
A2M-AS1	A2M antisense RNA 1			NR_026971	144571	144571	NR_026971
A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179, p170	NM_144670	144568	144568	NM_001282424
A2ML1-AS1	A2ML1 antisense RNA 1					100874108	NR_046715
A2ML1-AS2	A2ML1 antisense RNA 2					106478979	
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		NG_001067	3	3	NR_040112
A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)						
A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)						
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S, IGB3S	NM_001080438	127550	127550	NM_001080438
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	A14GALT, Gb3S, P(k)	NM_017436	53947	53947	NM_001318038
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT	NM_016161	51146	51146	NM_016161
A12M1	adenovirus-12 chromosome modification site 1C						
A12M2	adenovirus-12 chromosome modification site 1A						
A12M3	adenovirus-12 chromosome modification site 1B						
A12M4	adenovirus-12 chromosome modification site 17						
AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	AA					
AAAS	aladin WD repeat nucleoporin				8086	8086	NM_001173466
AABT	amino acid transport, beta						
AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)						
AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)						
AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	NM_023928	65985	65985	NM_001319839
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		NR_024035	729522	729522	NR_024035
AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)						
AADAC	arylacetamide deacetylase		DAC, CES5A1	NM_001086	13	13	NM_001086
AADACL2	arylacetamide deacetylase like 2		MGC72001	NM_207365	344752	344752	NM_207365
AADACL2-AS1	AADACL2 antisense RNA 1				101928142	101928142	NR_110202
AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887	NM_001103170	126767	126767	NM_001103170
AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889	NM_001013630	343066	343066	NM_001013630
AADACP1	arylacetamide deacetylase pseudogene 1				201651	201651	NR_026915
AADAT	aminoadipate aminotransferase		KATII, KAT2, KYAT2	NM_016228	51166	51166	NM_001286682
AAGAB	alpha and gamma adaptin binding protein		FLJ11506, p34	NM_024666	79719	79719	NM_001271885
AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132	NM_014911	22848	22848	NM_001371575
AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067	NM_024684	28971	28971	NM_001316957
AAMP	angio associated migratory cell protein			NM_001087	14	14	NM_001087
AANAT	aralkylamine N-acetyltransferase		SNAT	NM_001088	15	15	NM_001088
AAR2	AAR2 splicing factor	C20orf4	bA234K24.2	NM_015511	25980	25980	NM_001271874
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	NM_001025357	441376	441376	NM_001025357
AARS1	alanyl-tRNA synthetase 1	AARS	CMT2N, AlaRS	NM_001605	16	16	NM_001605
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	AARSP1			106480683	106480683	NG_043271
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	NM_020745	57505	57505	NM_020745
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744, AlaXp	NM_001261434	80755	80755	NM_001261434
AARSD1P1	AARSD1 pseudogene 1					117981788	NG_070706
AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	NM_181806	132949	132949	NM_001286668
